N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,미래에셋증권,"9,290",20,-0.21%,"5,000","59,021","635,316",14.23,"1,775,896",7.40,8.94,
60,코웨이,"77,800","1,200",-1.52%,500,"57,416","73,800",59.36,"128,280",13.38,31.51,
61,한미사이언스,"84,300",800,+0.96%,500,"56,738","67,305",1.76,"506,401",205.11,3.47,
62,강원랜드,"25,850",700,-2.64%,500,"55,304","213,940",19.55,"1,242,824",-34.42,-7.92,
63,한국금융지주,"97,900","1,000",+1.03%,"5,000","54,556","55,726",32.69,"456,486",4.37,16.27,
64,LG이노텍,"228,500","3,500",-1.51%,"5,000","54,079","23,667",31.37,"270,081",13.29,10.20,
65,현대중공업지주,"67,100","1,800",-2.61%,"1,000","53,004","78,993",17.16,"473,240",-23.44,-8.12,
66,아모레G,"62,000","1,700",-2.67%,500,"51,124","82,458",17.82,"306,491",121.57,0.31,
67,두산밥캣,"48,450","1,750",-3.49%,500,"48,571","100,249",25.90,"312,481",14.75,6.15,
68,오리온,"118,500","1,500",-1.25%,500,"46,850","39,536",39.08,"100,875",17.61,15.50,
69,맥쿼리인프라,"12,300",50,-0.40%,0,"45,780","372,192",15.04,"658,383",N/A,N/A,
70,삼성엔지니어링,"22,850",500,-2.14%,"5,000","44,786","196,000",30.21,"3,427,462",15.82,16.75,
71,유한양행,"63,500","1,600",-2.46%,"1,000","44,433","69,973",18.57,"258,142",46.32,11.06,
72,팬오션,"8,140",250,-2.98%,"1,000","43,514","534,570",11.32,"5,858,075",34.64,3.25,
73,이마트,"155,000","3,000",-1.90%,"5,000","43,208","27,876",32.17,"180,659",10.69,4.05,
74,한진칼,"64,700","1,600",-2.41%,"2,500","43,093","66,605",15.06,"130,639",-52.69,-19.55,
75,삼성중공업,"6,700",150,-2.19%,"5,000","42,210","630,000",14.22,"6,013,717",-2.36,-33.06,
76,GS,"44,700","1,050",-2.30%,"5,000","41,533","92,915",19.40,"469,912",6.56,-2.82,
77,한미약품,"343,000","2,500",-0.72%,"2,500","41,428","12,078",13.32,"66,406",176.53,1.65,
78,삼성카드,"35,400",250,+0.71%,"5,000","41,014","115,859",8.39,"451,730",9.65,5.69,
79,현대차2우B,"112,000",0,0.00%,"5,000","40,864","36,485",61.22,"138,357",13.55,N/A,
80,쌍용C&E,"8,110",100,-1.22%,100,"40,863","503,860",3.43,"1,082,011",29.60,7.92,
81,CJ대한통운,"179,000","1,500",-0.83%,"5,000","40,834","22,812",23.00,"43,147",34.01,3.89,
82,롯데지주,"38,450",750,-1.91%,200,"40,338","104,909",8.37,"350,500",-94.47,-3.03,
83,KODEX 200,"43,260",455,-1.04%,0,"39,258","90,750",3.48,"4,036,668",N/A,N/A,
84,삼성증권,"43,900",200,-0.45%,"5,000","39,203","89,300",28.23,"270,508",5.02,9.89,
85,DB손해보험,"55,000",500,+0.92%,500,"38,940","70,800",43.50,"155,340",6.28,9.08,
86,F&F,"508,000","12,000",-2.31%,500,"38,920","7,661",10.67,"54,356",N/A,N/A,
87,효성티앤씨,"891,000","10,000",+1.14%,"5,000","38,560","4,328",22.99,"59,650",15.05,25.10,
88,녹십자,"327,500","5,500",-1.65%,"5,000","38,273","11,687",21.14,"57,102",38.22,7.48,
89,호텔신라,"92,800","1,100",-1.17%,"5,000","36,422","39,248",19.61,"462,780",-17.56,-36.74,
90,GS건설,"42,150",800,-1.86%,"5,000","36,073","85,581",26.37,"843,090",10.13,7.68,
91,대우조선해양,"33,300","1,650",-4.72%,"5,000","35,728","107,291",7.20,"671,965",-9.14,2.27,
92,NH투자증권,"12,500",100,-0.79%,"5,000","35,176","281,409",17.79,"400,605",4.68,10.32,
93,현대오토에버,"126,500","3,000",-2.32%,500,"34,691","27,424",1.41,"69,961",45.08,11.09,
94,신풍제약,"65,300",100,+0.15%,500,"34,599","52,985",8.67,"4,270,797",759.30,1.72,
95,휠라홀딩스,"55,000",0,0.00%,"1,000","33,414","60,752",46.62,"404,759",17.55,10.94,
96,두산인프라코어,"14,450",0,0.00%,"5,000","33,408","231,195",9.72,0,13.75,6.47,
97,일진머티리얼즈,"71,700","3,000",-4.02%,500,"33,061","46,111",9.41,"485,467",82.22,7.23,
98,메리츠증권,"4,830",15,+0.31%,"1,000","32,928","681,731",14.07,"2,023,544",5.34,13.08,
99,한국가스공사,"35,400","1,200",-3.28%,"5,000","32,679","92,313",6.75,"669,802",-16.65,-2.24,
100,한국항공우주,"33,500","1,200",-3.46%,"5,000","32,654","97,475",14.00,"976,258",424.05,6.39,
101,한화시스템,"17,200",400,-2.27%,"5,000","32,494","188,919",2.85,"1,172,684",19.68,9.35,
102,현대미포조선,"81,200","3,900",-4.58%,"5,000","32,433","39,942",10.16,"848,575",-99.15,-0.84,
103,씨에스윈드,"76,800","2,100",-2.66%,500,"32,388","42,171",10.97,"312,131",61.89,8.19,
104,키움증권,"122,000","2,000",-1.61%,"5,000","31,953","26,191",23.41,"121,464",3.26,27.63,
105,에스원,"83,400","1,000",+1.21%,500,"31,691","37,999",54.55,"144,044",21.21,10.48,
106,롯데쇼핑,"111,500","2,500",-2.19%,"5,000","31,542","28,289",10.66,"170,180",-4.18,-7.70,
107,대우건설,"7,480",70,-0.93%,"5,000","31,089","415,623",9.17,"4,469,837",8.40,11.06,
108,두산퓨얼셀,"47,000","2,950",-5.91%,100,"30,782","65,494",12.32,"2,439,274",265.54,4.18,
109,한화생명,"3,520",135,-3.69%,"5,000","30,572","868,530",7.26,"5,828,652",6.53,1.90,
110,메리츠금융지주,"22,550",300,+1.35%,500,"30,220","134,011",7.87,"165,084",5.28,16.06,
